Number,SMILEs,NumAtoms,MW,FSP3,Cm
278,CCS(=O)c1cccnc1-c1ncc(-c2cncc(C(F)(F)F)c2)n(C)c1=O,28,408.4050000000001,0.2222222222222222,433.9551205058764
279,CCS(=O)c1cccnc1-c1ncc(-n2cnc(C(F)(F)F)n2)n(C)c1=O,27,398.37000000000006,0.26666666666666666,451.5142514576346
280,CCS(=O)c1cccnc1-c1ncc(-n2cc(C(F)(F)F)cn2)n(C)c1=O,27,397.38200000000006,0.25,438.2265390780852
281,CCS(=O)c1cccnc1-c1ncc(-n2ccc(C(F)(F)F)n2)n(C)c1=O,27,397.38200000000006,0.25,443.05661407664286
282,CCS(=O)c1cccnc1-c1ncc(-c2ccc(N(C)CC(F)(F)F)cn2)n(C)c1=O,31,451.4740000000001,0.3,490.2265390780852
283,CCS(=O)c1cccnc1-c1ncc(-c2ccc(S(=O)(=O)C(F)(F)F)cn2)n(C)c1=O,31,472.4700000000001,0.2222222222222222,498.21978301236686
284,CCS(=O)c1cccnc1-c1ncc(-c2ccc(S(=O)C(F)(F)F)cn2)n(C)c1=O,30,456.47100000000006,0.2222222222222222,537.9551205058764
285,CCS(=O)c1cccnc1-c1ncc(-c2ccc(SC(F)(F)F)cn2)n(C)c1=O,29,440.47200000000004,0.2222222222222222,473.1250455073187
286,CCS(=O)c1cccnc1-c1ncc(-c2cc(S(=O)(=O)C(F)(F)F)ccn2)n(C)c1=O,31,472.4700000000001,0.2222222222222222,498.21978301236686
287,CCS(=O)c1cccnc1-c1ncc(-c2cc(S(=O)C(F)(F)F)ccn2)n(C)c1=O,30,456.47100000000006,0.2222222222222222,537.9551205058764
288,CCS(=O)c1cccnc1-c1ncc(-c2cc(SC(F)(F)F)ccn2)n(C)c1=O,29,440.47200000000004,0.2222222222222222,473.1250455073187
289,CCS(=O)c1cccnc1-c1ncc(-c2ccc(C(F)(F)F)cn2)n(C)c1=O,28,408.40500000000003,0.2222222222222222,438.78519550443406
290,CCS(=O)c1cccnc1-c1ncc(-c2cc(C(F)(F)F)ccn2)n(C)c1=O,28,408.40500000000003,0.2222222222222222,438.78519550443406
291,CCS(=O)c1cccnc1-c1ncc(-n2cnc(C(F)(F)F)c2)n(C)c1=O,27,397.38200000000006,0.25,450.2265390780852
292,CCS(=O)c1c(C(F)(F)F)ccc(C(=O)N(C)c2nnc(NCCOC)o2)c1F,29,438.4030000000002,0.4375,453.38035533989535
293,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CCO[Si](C)(C)C(C)(C)C)c2F)o1,36,554.6390000000004,0.5714285714285714,529.7364991501206
294,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CCSC)c2F)o1,30,470.4700000000002,0.4375,467.5665741486784
295,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CC(N)C(=O)O)c2F)o1,32,483.4000000000002,0.375,521.229980347107
296,CCOC(=O)CCCS(=O)c1c(C(F)(F)F)ccc(C(=O)Nc2nnc(NCCOC)o2)c1F,34,510.46600000000024,0.47368421052631576,508.7364991501206
297,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CC(=O)OC(C)(C)C)c2F)o1,34,510.4660000000003,0.47368421052631576,501.7364991501207
298,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CC(=O)OC)c2F)o1,31,468.3850000000002,0.375,486.7364991501207
299,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CC(=O)O)c2F)o1,30,454.3580000000002,0.3333333333333333,473.5665741486784
300,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CCC(=O)C3CCN(C)CC3)c2F)o1,37,549.5470000000005,0.5454545454545454,519.1941365311123
301,COCCNc1nnc(NC(=O)c2ccc(C(F)(F)F)c(S(=O)CC(C)=O)c2F)o1,30,452.3860000000002,0.375,470.3966491472361
