Number,SMILEs,NumAtoms,MW,FSP3,Bottcher
3240,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCCC(Oc1ccc(C(=O)N(C)CC3)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,64,927.249,0.5098039215686274,639.5528769495319
3241,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCC(Oc1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2C(F)(F)F)cc1,66,967.1920000000002,0.5,670.9912355230455
3242,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCC(Oc1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccc(F)cc2F)cc1,60,867.1780000000001,0.4791666666666667,657.3765256789303
3243,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCC(Oc1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccccc2F)cc1,59,849.1880000000001,0.4791666666666667,634.9317408362574
3244,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).C=CCC1CNCCC1C2,41,610.971,0.7575757575757576,464.6177809777199
3245,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).C=CC1CN(C)CCC1C2,41,610.971,0.7575757575757576,472.77141217182157
3246,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).NC(=O)C1(C3)c2ccccc2-c2ccccc21,48,695.0040000000001,0.5128205128205128,474.63407478506053
3247,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4C1CCC2c3ccccc3-c3cccc1c32,48,692.0440000000001,0.5609756097560976,527.3496186068243
3248,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CN(C)CCOC(=O)CCCCCC2,45,673.0389999999998,0.8,481.27793097483533
3249,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3C1COC(c2ccccc2)C1,43,633.9610000000002,0.6571428571428571,484.9345811075457
3250,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).NC(=O)C(N)(CC2)Cc1ccccc1,45,663.991,0.6285714285714286,516.5230434726715
3251,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).Cc1ccc(-c2ccc(CC4)cc2-c2ccc3ccccc3c2)cc1,56,794.1800000000001,0.42857142857142855,544.1796936053815
3252,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CCn1ncc2cc(-c3cc(CC4)ccc3-c3cccc(C)c3)ccc21,57,812.1989999999998,0.4791666666666667,617.2485995614668
3253,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).Cc1cccc(-c2ccc(CC4)cc2-c2ccc3scnc3c2)c1,55,801.197,0.45652173913043476,613.3170309921429
3254,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).Cc1cccc(-c2ccc(CC4)cc2-c2ccc3c(cnn3C)c2)c1,56,798.1719999999999,0.46808510638297873,607.2485995614671
3255,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).Cc1cccc(-c2ccc(CC4)cc2-c2ccc3[nH]ncc3c2)c1,55,784.145,0.45652173913043476,593.0949683673655
3256,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).Cc1cccc(-c2ccc(CC4)cc2-c2ccc3[nH]ccc3c2)c1,55,783.157,0.44680851063829785,584.6373309863736
3257,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).Cc1cccc(-c2ccc(CC4)cc2-c2ccc3ccccc3c2)c1,56,794.1800000000001,0.42857142857142855,566.5195436082663
3258,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).Cc1ccccc1-c1ccc(CC3)cc1-c1ccc2scnc2c1,55,801.197,0.45652173913043476,613.317030992143
3259,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).Cc1ccccc1-c1ccc(CC3)cc1-c1ccc2c(cnn2C)c1,56,798.1719999999999,0.46808510638297873,607.2485995614672
3260,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).Cc1ccccc1-c1ccc(CC3)cc1-c1ccc2c(ccn2C)c1,56,797.184,0.4583333333333333,598.7909621804754
3261,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).Cc1ccccc1-c1ccc(CC3)cc1-c1ccc2[nH]ccc2c1,55,783.157,0.44680851063829785,584.6373309863737
3262,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).Cc1ccccc1-c1ccc(CC3)cc1-c1ccc2ccccc2c1,56,794.1800000000001,0.42857142857142855,566.5195436082664
3263,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CCn1ncc2cc(-c3cc(CC4)ccc3-c3ccccc3OC)ccc21,58,828.1979999999999,0.4791666666666667,645.5884495643514
3264,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).COc1ccccc1-c1ccc(CC3)cc1-c1cnc2ccccc2c1,57,811.1669999999999,0.4375,622.4869559935852
3265,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).COc1ccccc1-c1ccc(CC3)cc1-c1ccc2scnc2c1,56,817.1959999999999,0.45652173913043476,641.6568809950276
3266,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).COc1ccccc1-c1ccc(CC3)cc1-c1ccc2c(cnn2C)c1,57,814.1709999999998,0.46808510638297873,635.5884495643518
3267,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).COc1ccccc1-c1ccc(CC3)cc1-c1ccc2[nH]ncc2c1,56,800.1439999999999,0.45652173913043476,621.4348183702501
3268,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).COc1ccccc1-c1ccc(CC3)cc1-c1ccc2c(ccn2C)c1,57,813.1829999999999,0.4583333333333333,627.1308121833599
3269,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).COc1ccccc1-c1ccc(CC3)cc1-c1ccc2[nH]ccc2c1,56,799.156,0.44680851063829785,612.9771809892583
3270,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).COc1ccccc1-c1ccc(CC3)cc1-c1ccc2ccccc2c1,57,810.179,0.42857142857142855,594.859393611151
